cntr_u,dist_x,pang_x,ra_u,dec_u,ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass
3,0.417403,22.781628,2.1743488100E+02,-1.6398390000E+01,217.4349278,-16.3982831,0.5642,0.6403,-0.2603,15.825,0.211,5.2,1.529E+00,14.620,0.286,3.8,8.776E-01,1,0,0000,BB,10,57052.39352223,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
4,1.197336,57.643377,2.1759941200E+02,-1.6354657000E+01,217.5997048,-16.3544790,0.4921,0.5329,-0.1602,16.215,0.288,3.8,7.595E-01,14.118,0.160,6.8,9.324E-01,1,0,0000,BB,10,57052.52493523,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
6,0.332474,-21.206356,2.1792915600E+02,-1.6266309000E+01,217.9291212,-16.2662229,0.5530,0.5422,-0.1969,15.907,0.264,4.1,7.385E-01,14.149,0.197,5.5,6.957E-01,1,0,0000,BB,10,57052.78763396,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
7,0.498532,-120.940650,2.1809453700E+02,-1.6221592000E+01,218.0944133,-16.2216632,0.4038,0.4270,-0.1534,15.635,0.166,6.5,5.798E-01,13.969,0.155,7.0,5.949E-01,1,0,0000,BB,10,57052.91904700,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
10,0.895327,81.816812,2.1859221300E+02,-1.6085559000E+01,218.5924692,-16.0855236,0.6534,0.7136,-0.1628,16.873,0.514,2.1,9.629E-01,14.195,0.188,5.8,1.088E+00,1,0,0000,CB,10,57053.31315872,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
11,0.237460,33.819876,2.1875872800E+02,-1.6039518000E+01,218.7587662,-16.0394632,0.4947,0.5345,-0.1085,15.719,0.169,6.4,1.426E+00,15.033,0.369,2.9,1.505E+00,1,0,0000,BC,10,57053.44457176,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
12,1.223564,154.394633,2.1892535400E+02,-1.5993247000E+01,218.9255068,-15.9935535,0.5285,0.5966,-0.1768,15.841,0.330,3.3,1.186E+00,13.910,0.207,5.2,6.882E-01,1,0,0000,BB,10,57053.57585744,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
13,0.716018,50.017542,2.1909243600E+02,-1.5946540000E+01,219.0925945,-15.9464122,0.5878,0.5268,-0.2197,15.728,0.199,5.5,7.689E-01,13.945,0.215,5.1,6.125E-01,1,0,0000,BB,10,57053.70727039,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
14,1.948299,45.578377,2.1925980000E+02,-1.5899498000E+01,219.2602019,-15.8991192,0.6202,0.7342,-0.2664,15.969,0.225,4.8,7.341E-01,14.856,0.326,3.3,6.621E-01,1,0,0000,BB,10,57053.83868344,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
15,0.524385,-97.574306,2.1942727600E+02,-1.5852224000E+01,219.4271259,-15.8522432,0.5769,0.6257,0.1254,16.140,0.336,3.2,4.998E-01,14.175,0.197,5.5,8.125E-01,1,0,0000,BB,10,57053.96996912,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
